miner.cpp,miner.cpp,868,46132,135
main.cpp,main.cpp,820,59600,42
protocol.cpp,protocol.cpp,4,19412,3
wallet.cpp,wallet.cpp,4,50432,3
main.cpp,main.cpp,1504,59600,65
main.cpp,main.cpp,244,59600,45
main.cpp,main.cpp,1120,59600,46
main.cpp,main.cpp,1796,59600,41
main.cpp,main.cpp,2048,59600,907
checkpoints.cpp,checkpoints.cpp,52,36056,32
main.cpp,main.cpp,76,59600,41
net.cpp,net.cpp,1092,44472,36
