util.cpp,util.cpp,1076,24,17
wallet.cpp,wallet.cpp,8,8,5
settings.cpp,settings.cpp,4,1380,3
settings.cpp,settings.cpp,4,4,4
wallet.cpp,wallet.cpp,644,8,5
